Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2020-03-01,00:00,21.72,34.06,29.00,,,,,,2.00,2.00,,,,,,,,
2020-03-01,00:15,22.01,35.24,356.00,,,,,,2.00,2.00,,,,,,,,
2020-03-01,00:30,21.71,36.94,382.00,,,,,,1.00,2.00,,,,,,,,
2020-03-01,00:45,21.89,35.46,385.00,,,,,,2.00,2.00,,,,,,,,
2020-03-01,01:00,21.83,36.38,478.00,,,,,,2.00,3.00,,,,,,,,
2020-03-01,01:15,21.36,35.43,24.00,,,,,,2.00,2.00,,,,,,,,
2020-03-01,01:30,21.04,35.82,328.00,,,,,,1.00,2.00,,,,,,,,
2020-03-01,01:45,21.26,36.78,412.00,,,,,,2.00,3.00,,,,,,,,
2020-03-01,02:00,21.39,38.21,535.00,,,,,,1.00,3.00,,,,,,,,
2020-03-01,02:15,21.75,37.15,254.00,,,,,,2.00,2.00,,,,,,,,
2020-03-01,02:30,21.30,37.18,331.00,,,,,,2.00,2.00,,,,,,,,
2020-03-01,02:45,20.81,36.38,20.00,,,,,,2.00,2.00,,,,,,,,
2020-03-01,03:00,20.80,36.58,515.00,,,,,,2.00,3.00,,,,,,,,
2020-03-01,03:15,21.07,36.13,,,,,,,,,,,,,,,,
2020-03-01,03:30,20.80,36.24,428.00,,,,,,0.00,2.00,,,,,,,,
2020-03-01,03:45,20.89,35.55,128.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,04:00,21.01,35.12,26.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,04:15,20.70,33.95,25.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,04:30,20.83,34.41,30.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,04:45,20.95,33.76,25.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,05:00,20.62,33.45,31.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,05:15,20.95,33.60,29.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,05:30,21.11,33.32,28.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,05:45,20.71,33.03,27.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,06:00,20.96,33.25,55.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,06:15,20.77,32.87,26.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,06:30,20.74,33.30,24.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,06:45,21.08,32.77,26.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,07:00,20.98,32.34,24.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,07:15,20.63,32.15,25.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,07:30,20.95,32.62,128.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,07:45,20.77,31.90,27.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,08:00,20.73,32.37,31.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,08:15,21.01,31.97,29.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,08:30,21.06,31.95,27.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,08:45,20.67,30.98,21.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,09:00,20.83,31.86,30.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,09:15,20.77,31.31,28.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,09:30,20.75,31.78,22.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,09:45,21.05,31.36,31.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,10:00,20.78,30.82,23.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,10:15,20.81,31.37,28.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,10:30,20.99,31.02,25.00,,,,,,0.00,0.00,,,,,,,,
2020-03-01,10:45,20.61,30.07,21.00,,,,,,0.00,0.00,,,,,,,,
